record_id,collection_zone,district,ward_number,collection_date,collection_time,waste_source,collection_point_id,latitude,longitude,waste_category,sub_waste_type,waste_weight_kg,waste_volume_m3,moisture_content_pct,organic_content_pct,plastic_content_pct,metal_content_pct,glass_content_pct,paper_content_pct,hazardous_content_pct,contamination_level,odor_level,temperature_c,humidity_pct,rainfall_mm,air_quality_index,collection_frequency_days,bin_fill_level_pct,overflow_status,vehicle_type,vehicle_capacity_kg,distance_to_processing_km,travel_time_min,fuel_consumption_l,traffic_density,processing_facility,recycling_feasibility_score,compost_quality_score,energy_recovery_score,landfill_priority_score,resource_recovery_score,collection_priority_score,route_efficiency_score,operational_cost_usd,carbon_emission_kg,farmland_reuse_potential,management_decision,bin_fill_score,hazardous_score,contamination_score,collection_priority_normalized,waste_risk_score,waste_risk_level,aqi_score,carbon_score,pollution_risk_score,pollution_risk_level,compliance_status
SWM_100021,Suburban Zone,District_C,35,01-12-2024,04:12,Market,CP_4451,11.713329,72.405178,Metal,Copper,128.29,7.76,20.46,34.57,71.74,23.7,26.7,10.34,2.88,0.41,1.69,25.52,33.28,10.64,207,5,29.65,Yes,Dump Truck,9253,28.19,146,9.84,High,Transfer Station,36.43,50.34,69.04,3.93,79.94,62.79,8.18,529.2,110.9,High,Landfill,12.064008001000124,19.2,4.1,62.78627862786279,19.86354499457947,Low,55.3125,92.08626837116272,59.122130511348814,Moderate,Violation
SWM_100022,West Zone,District_E,14,16-10-2024,03:04,Institutional,CP_5273,9.771261,76.029452,Metal,Aluminum,648.84,9.03,20.68,20.93,29.64,24.23,24.73,22.13,6.94,7.47,0.37,24.82,73.5,107.42,89,9,60.93,Yes,Electric Vehicle,3290,32.39,124,6.07,High,Transfer Station,44.74,53.26,24.25,26.92,37.73,2.01,32.21,158.41,42.66,Medium,Recycling,51.168896112014004,46.266666666666666,74.7,2.000200020002,47.27425511447257,Medium,18.4375,32.741977563266374,28.294676602313245,Low,Compliant
SWM_100023,Suburban Zone,District_A,21,16-12-2024,21:18,Hospital,CP_2713,11.473102,93.825291,Metal,Iron,483.0,8.21,72.08,49.84,6.95,26.86,23.47,44.73,6.47,1.28,2.84,27.8,68.44,68.49,34,3,48.49,No,Electric Vehicle,6483,59.2,91,25.02,High,Recycling Plant,23.72,10.18,15.29,24.6,16.07,18.66,28.51,137.09,108.13,High,Energy Recovery,35.61695211901488,43.133333333333326,12.8,18.651865186518652,30.387893958917086,Low,1.25,89.67736324897817,36.154875641360114,Low,Warning
SWM_100024,Central Zone,District_C,30,29-07-2025,02:32,Market,CP_4050,10.326779,83.21083,Paper,Newspaper,340.11,11.79,14.52,39.79,77.56,43.28,32.68,15.47,2.56,6.69,9.29,33.03,62.87,33.6,254,10,81.56,No,Auto Tipper,10436,12.04,116,14.3,High,Waste Processing Unit,42.54,50.76,24.24,11.48,61.06,28.86,58.12,126.44,60.33,Medium,Recycling,76.95961995249408,17.066666666666666,66.9,28.852885288528853,52.758447440943634,Medium,70.0,48.108531176624055,52.845892686320546,Moderate,Warning
SWM_100025,Central Zone,District_F,39,28-09-2024,16:58,Industrial,CP_8906,23.445094,69.502883,Plastic,Plastic Bags,282.55,1.79,10.39,99.0,25.79,40.49,10.19,40.89,11.4,5.96,4.72,29.12,46.17,111.54,183,1,86.45,Yes,Auto Tipper,2767,57.94,112,6.72,Moderate,Transfer Station,73.09,93.83,18.12,6.65,74.11,57.45,84.18,118.27,96.46,Low,Composting,83.07288411051383,76.0,59.599999999999994,57.44574457445746,72.76601533037415,High,47.8125,79.5286546656231,62.964846399686934,High,Compliant
SWM_100026,North Zone,District_C,33,13-03-2025,17:21,Commercial,CP_5924,13.847192,72.746022,Glass,Jar,148.13,9.81,61.54,52.31,28.71,43.86,15.7,49.0,6.59,3.77,4.63,26.14,76.07,60.33,320,3,38.58,Yes,Dump Truck,1881,54.07,28,16.59,Moderate,Composting Facility,54.36,90.65,62.42,11.69,93.98,62.77,33.49,117.99,96.31,Medium,Energy Recovery,23.22790348793599,43.93333333333333,37.7,62.766276627662776,37.22943622265715,Low,90.625,79.39820853987304,77.91862922862857,High,Warning
SWM_100027,Suburban Zone,District_C,30,07-10-2024,18:04,Residential,CP_3416,25.98211,83.470372,Glass,Jar,717.24,9.51,17.89,31.17,19.88,37.2,1.34,34.19,11.44,8.77,3.42,40.17,28.3,101.57,118,5,30.2,No,Mini Truck,4024,24.44,65,32.3,Low,Waste Processing Unit,14.99,22.93,72.23,72.0,64.11,69.39,54.27,181.01,44.76,High,Energy Recovery,12.751593949243656,76.26666666666667,87.7,69.38693869386938,52.11534505044454,Medium,27.500000000000004,34.568223323767285,39.373800330463524,Low,Compliant
SWM_100028,West Zone,District_C,44,26-10-2024,01:39,Market,CP_7131,13.266334,94.345066,Mixed,Mixed Dry,475.05,4.93,44.27,94.73,12.27,29.31,20.24,36.69,0.27,8.72,9.32,33.26,72.25,110.7,274,3,76.58,No,Mini Truck,8713,10.0,145,23.9,High,Waste Processing Unit,60.67,42.41,73.64,93.44,92.56,45.08,11.32,591.51,101.47,Low,Landfill,70.73384173021628,1.8000000000000003,87.20000000000002,45.074507450745074,52.94471280969828,Medium,76.25,83.88555526567526,63.65066657970257,High,Violation
SWM_100029,Urban Zone,District_G,54,13-07-2025,07:08,Institutional,CP_4977,11.615218,94.704415,Plastic,PET,698.52,6.32,55.26,39.9,4.38,16.76,32.11,0.28,5.0,3.98,5.37,42.84,45.98,41.63,228,3,79.0,No,Compactor Truck,7551,27.68,88,10.53,Moderate,Waste Processing Unit,45.24,14.09,17.64,49.84,41.89,91.48,36.24,365.13,77.71,Low,Energy Recovery,73.75921990248781,33.33333333333333,39.800000000000004,91.47914791479148,59.51889348154718,Medium,61.875,63.22288894686494,56.57103335072615,Moderate,Warning
SWM_100030,South Zone,District_F,32,29-07-2025,19:04,Hospital,CP_1440,8.379739,87.242584,Glass,Jar,158.87,11.54,17.64,41.46,6.83,49.84,20.09,35.72,1.01,7.5,2.1,42.25,35.39,22.88,341,3,22.92,Yes,Dump Truck,6935,28.85,92,23.46,High,Recycling Plant,6.57,77.55,45.33,52.44,44.08,40.08,55.96,126.93,25.92,Low,Composting,3.650456307038382,6.7333333333333325,75.0,40.07400740074007,24.154616966259695,Low,97.1875,18.184189929559096,55.395673645534394,Moderate,Warning
SWM_100031,Suburban Zone,District_B,42,13-07-2025,23:15,Commercial,CP_3262,32.991783,95.437348,Metal,Copper,311.18,3.39,59.74,40.87,2.03,7.81,28.64,39.54,0.41,2.22,2.31,36.14,21.48,12.49,126,1,83.99,Yes,Dump Truck,8133,11.53,28,26.8,Moderate,Waste Processing Unit,23.82,9.94,24.32,72.23,85.57,83.02,39.72,414.13,28.57,Low,Energy Recovery,79.99749968746093,2.733333333333333,22.200000000000003,83.01830183018302,49.57507848284516,Medium,30.0,20.488738151143583,21.693288112009743,Low,Compliant
SWM_100032,Suburban Zone,District_C,19,03-03-2025,03:13,Industrial,CP_7337,16.501284,93.993739,Plastic,Plastic Bags,30.14,1.21,22.67,2.65,14.51,29.15,16.86,53.56,12.26,3.42,2.59,28.25,64.27,32.17,47,5,69.93,No,Compactor Truck,3679,25.16,106,22.98,High,Recovery Center,43.61,29.45,94.85,76.36,14.01,86.85,48.74,540.95,96.98,High,Energy Recovery,62.42030253781724,81.73333333333333,34.199999999999996,86.84868486848684,65.26875707873326,High,5.3125,79.98086790155666,42.99717703713367,Moderate,Compliant
SWM_100033,South Zone,District_F,44,10-01-2025,11:42,Hospital,CP_2661,20.331192,68.65161,Glass,Container,229.57,6.59,58.85,25.79,11.15,41.75,39.38,31.54,2.58,2.72,0.18,42.69,28.83,69.18,36,3,41.92,No,Compactor Truck,10415,33.7,134,26.75,Moderate,Waste Processing Unit,82.97,20.64,1.1,13.69,90.0,87.39,59.74,376.29,81.48,High,Landfill,27.403425428178522,17.200000000000003,27.200000000000003,87.38873887388738,33.80968100235452,Low,1.875,66.50143490738326,24.327930472214977,Low,Compliant
SWM_100034,Suburban Zone,District_G,50,19-06-2025,06:32,Residential,CP_5963,13.085767,94.517946,Glass,Container,346.64,4.72,49.11,4.7,13.3,36.9,3.31,36.19,3.68,3.89,2.89,27.6,73.93,35.65,162,2,65.31,No,Auto Tipper,7108,29.09,126,27.22,High,Transfer Station,93.68,73.26,21.49,3.12,26.23,59.51,5.14,317.97,73.64,Low,Recycling,56.64458057257158,24.533333333333335,38.9,59.50595059505951,45.49705815162089,Medium,41.25,59.68345073484651,43.43670188712062,Moderate,Compliant
SWM_100035,South Zone,District_C,28,27-10-2024,03:54,Market,CP_7282,17.693073,90.356454,Paper,Newspaper,103.15,1.09,66.9,49.55,55.07,21.74,9.86,49.15,11.99,6.95,2.72,33.94,47.07,10.99,106,1,93.39,No,Auto Tipper,5224,9.07,55,38.11,High,Recovery Center,44.6,18.51,54.19,87.29,73.22,80.66,65.88,427.67,102.66,Low,Recycling,91.74896862107764,79.93333333333334,69.5,80.65806580658065,82.68163065275148,Critical,23.75,84.92042786329246,53.3377950256544,Moderate,Violation
SWM_100036,Suburban Zone,District_A,30,17-03-2025,20:23,Industrial,CP_1652,15.240372,82.193324,Glass,Bottle,192.54,11.85,85.25,3.94,56.45,46.26,7.22,34.08,13.73,0.34,6.97,26.03,89.33,116.53,280,8,95.54,No,Mini Truck,10819,28.98,180,34.76,Moderate,Transfer Station,84.45,31.91,82.89,3.7,59.63,23.0,12.06,83.09,85.07,Medium,Composting,94.43680460057509,91.53333333333333,3.4000000000000004,22.992299229922992,64.78690005805181,High,78.125,69.62344551700147,78.25620032176711,High,Violation
SWM_100037,Central Zone,District_A,35,15-07-2025,20:14,Industrial,CP_3928,17.856374,89.018236,Paper,Office Paper,70.98,3.92,50.86,79.07,25.5,31.29,35.44,36.95,3.49,0.24,8.7,18.57,85.6,63.47,212,7,95.13,Yes,Electric Vehicle,6318,48.13,81,39.92,High,Recycling Plant,35.07,76.72,40.19,47.99,62.75,87.37,98.41,470.23,53.04,Low,Landfill,93.92424053006626,23.26666666666667,2.4,87.36873687368737,56.97167340974628,Medium,56.875,41.76884946517089,45.621488172884604,Moderate,Violation
SWM_100038,Industrial Zone,District_A,35,01-09-2024,05:33,Hospital,CP_7491,20.219353,89.389887,Organic,Garden Waste,206.25,1.5,35.14,28.72,23.7,11.68,1.68,1.07,14.82,4.28,3.84,36.35,36.37,114.0,119,2,82.91,Yes,Compactor Truck,3369,6.28,167,17.87,Moderate,Waste Processing Unit,87.91,94.47,46.74,61.34,16.7,99.12,23.17,567.93,79.71,Medium,Landfill,78.64733091636454,98.8,42.800000000000004,99.11991199119913,79.58691916522568,High,27.8125,64.96217062353247,53.15490118705975,Moderate,Compliant
SWM_100039,Urban Zone,District_D,59,26-08-2024,18:33,Hospital,CP_9577,25.624367,82.867967,Paper,Magazine,199.92,2.28,23.74,18.64,62.37,17.51,2.31,58.15,13.26,9.28,9.95,22.7,49.72,90.99,50,2,75.68,No,Dump Truck,1627,10.08,42,33.0,High,Recycling Plant,22.44,22.38,53.7,59.29,58.01,9.15,87.75,188.74,19.89,Medium,Composting,69.60870108763598,88.4,92.8,9.140914091409142,69.87461754876577,High,6.25,12.94025567440647,24.687076702321946,Low,Compliant
SWM_100040,South Zone,District_F,60,24-12-2024,00:01,Hospital,CP_5947,33.773694,95.713893,Metal,Copper,692.46,9.75,60.7,55.09,6.96,20.42,14.91,15.59,10.85,4.96,0.81,23.94,71.24,9.14,235,1,88.1,Yes,Dump Truck,11697,30.21,25,20.26,Moderate,Recycling Plant,59.24,82.47,34.78,67.8,56.57,26.7,87.86,486.56,80.72,High,Composting,85.1356419552444,72.33333333333333,49.6,26.692669266926693,66.0614905054701,High,64.0625,65.84050787024958,66.25006902774155,High,Warning
SWM_100041,Central Zone,District_E,40,13-05-2025,21:09,Market,CP_9833,32.66687,93.151532,Metal,Steel,572.52,10.08,64.29,68.01,49.49,37.64,6.34,52.85,13.08,0.29,8.26,21.48,45.13,89.22,55,6,32.86,No,Compactor Truck,8158,49.26,75,33.62,High,Composting Facility,50.75,0.64,28.7,61.69,98.12,63.18,25.98,395.04,67.1,Medium,Composting,16.077009626203274,87.2,2.9,63.176317631763176,38.28725149524578,Low,7.8125,53.99599965214367,37.5450498956431,Low,Compliant
SWM_100042,North Zone,District_G,59,18-11-2024,02:32,Commercial,CP_5668,30.615516,71.102439,Metal,Iron,613.6,6.59,86.85,34.19,50.61,46.6,4.1,56.23,10.32,0.68,3.01,37.12,25.05,69.86,32,7,47.67,Yes,Mini Truck,7788,37.63,173,3.74,Low,Transfer Station,87.15,97.35,96.89,74.97,13.01,75.83,2.46,52.39,42.22,Medium,Recycling,34.59182397799726,68.80000000000001,6.800000000000001,75.82758275827582,43.77086700494028,Medium,0.625,32.35933559439951,23.780300678319854,Low,Compliant
SWM_100043,Industrial Zone,District_B,15,03-02-2025,08:13,Commercial,CP_1296,22.170653,90.341815,Glass,Broken Glass,552.97,5.46,28.26,99.71,34.09,22.57,6.54,47.69,10.41,2.21,0.82,36.37,69.09,32.79,143,2,96.07,No,Auto Tipper,8547,9.91,155,18.43,Moderate,Recovery Center,94.36,41.97,63.85,39.76,27.42,98.4,40.93,540.7,31.44,Medium,Landfill,95.09938742342793,69.4,22.1,98.3998399839984,74.56973096697094,High,35.3125,22.984607357161494,38.43163220714845,Low,Warning
SWM_100044,Suburban Zone,District_H,60,12-02-2025,04:55,Market,CP_1205,14.180036,68.902888,Metal,Iron,528.3,4.55,78.47,47.32,77.46,9.28,34.74,46.6,11.56,8.45,7.61,34.91,29.84,3.9,204,6,93.67,No,Electric Vehicle,3486,37.38,123,32.27,High,Waste Processing Unit,48.15,11.73,12.52,68.56,43.03,20.05,49.16,75.96,71.93,High,Landfill,92.09901237654708,77.06666666666668,84.5,20.042004200420042,76.01257224734852,High,54.37499999999999,58.19636490129577,60.05974280372207,High,Violation
SWM_100045,East Zone,District_G,17,15-06-2025,03:00,Institutional,CP_1528,15.800809,91.129214,Metal,Aluminum,262.08,5.57,5.99,7.24,31.4,24.0,24.0,17.5,10.42,8.6,7.8,19.07,56.04,12.59,279,9,39.36,No,Mini Truck,4400,59.21,140,7.41,Moderate,Transfer Station,49.89,61.82,70.25,55.96,0.98,32.65,51.77,89.21,45.32,Medium,Composting,24.20302537817227,69.46666666666667,86.0,32.64326432643265,49.14436646690047,Medium,77.8125,35.0552221932342,63.31614999130359,High,Warning
SWM_100046,Urban Zone,District_H,2,16-04-2025,07:49,Commercial,CP_3731,8.96289,70.278776,Paper,Office Paper,329.6,1.77,53.24,68.95,64.05,10.01,6.7,6.27,9.55,7.06,0.32,43.28,23.9,64.96,319,7,76.72,No,Mini Truck,5651,52.39,147,29.14,High,Waste Processing Unit,80.17,33.95,81.48,8.01,89.48,54.76,81.73,293.3,79.01,High,Landfill,70.908863607951,63.66666666666667,70.6,54.75547554755475,66.61353344198028,High,90.3125,64.35342203669884,77.19560994434299,High,Warning
SWM_100047,East Zone,District_G,39,15-08-2024,00:57,Residential,CP_2588,23.265677,89.216096,Glass,Container,83.67,0.91,26.0,15.95,69.74,10.96,39.03,20.21,2.73,7.9,6.59,31.45,61.65,86.3,141,4,38.28,Yes,Auto Tipper,5740,59.78,50,39.04,Low,Waste Processing Unit,65.03,19.95,68.02,7.22,3.07,25.77,46.26,526.23,88.62,Low,Recycling,22.85285660707589,18.2,79.0,25.762576257625764,33.355529081474224,Low,34.6875,72.71067049308635,42.79695114792591,Moderate,Compliant
